lat,lng,house,evnum,building,charger,pop,pop_density,ave_traffic,loc_typ1,loc_typ2,five_days,no_five_days,weekends,no_weekends,free,no_free,tourist
37.4640654,126.6672324,0.822111399,0.280981958,0.125948407,0.323076923,0.723541132,1,0,0,1,0,1,0,1,0,1,86658
37.46142053,126.639916,0.822111399,0.280981958,0.238239757,0.238461538,0.723541132,1,0,1,0,0,1,0,1,0,1,86658
37.4508289,126.6596307,0.822111399,0.280981958,0.141122914,0.492307692,0.723541132,1,0,1,0,0,1,0,1,0,1,86658
37.44748072,126.652155,0.822111399,0.280981958,0.012139605,0.187692308,0.723541132,1,0,0,1,0,1,0,1,0,1,86658
37.45843461,126.653818,0.822111399,0.280981958,0.250379363,0.492307692,0.723541132,1,0,1,0,0,1,0,1,0,1,86658
37.45201513,126.6450629,0.822111399,0.280981958,0.062215478,0.111538462,0.723541132,1,0,0,1,0,1,1,0,0,1,86658
37.45022695,126.6608097,0.822111399,0.280981958,0.122913505,1,0.723541132,1,0,1,0,0,1,0,1,0,1,86658
37.4635298,126.6831111,0.822111399,0.280981958,0.247344461,0.052307692,0.723541132,1,0.199144814,1,0,0,1,1,0,0,1,86658
37.47026053,126.6837689,0.822111399,0.280981958,0.1107739,0.323076923,0.723541132,1,0,1,0,0,1,1,0,0,1,86658
37.46103383,126.6782479,0.822111399,0.280981958,0.339908953,0.062721893,0.723541132,1,0.076594159,1,0,0,1,1,0,0,1,86658
37.465929,126.6787272,0.822111399,0.280981958,0.182094082,0.069230769,0.723541132,1,0.199144814,1,0,0,1,0,1,0,1,86658
37.46295507,126.686476,0.822111399,0.280981958,0.203338392,0.057142857,0.723541132,1,0.478377997,0,1,0,1,0,1,0,1,86658
37.43967712,126.6617997,0.822111399,0.280981958,0.051593323,0.323076923,0.723541132,1,0,1,0,0,1,0,1,0,1,86658
37.5041906,126.7387031,0.911846104,0.350192251,0.069802731,0.238461538,0.871756772,0.926131898,0,0,1,1,0,1,0,0,1,2762968
